sample_id,filepath,clean_caption,misleading_caption,original_word,misleading_word,model,raw_output,answer_part,category
497568,/content/drive/MyDrive/VLM_Project_Data/val2017/000000497568.jpg,a plane with the words alaska on it,a plane with the words alaska under it,on,under,BLIP-2,Yes,Yes,Confusion/Irrelevance
497568,/content/drive/MyDrive/VLM_Project_Data/val2017/000000497568.jpg,a plane with the words alaska on it,a plane with the words alaska under it,on,under,LLaVA,"Yes, the image shows a plane with the words ""Alaska"" under it.","Yes, the image shows a plane with the words ""Alaska"" under it.",Agreement with Falsehood
163951,/content/drive/MyDrive/VLM_Project_Data/val2017/000000163951.jpg,a chair and a banana,a paper and a banana,chair,paper,BLIP-2,Yes,Yes,Confusion/Irrelevance
163951,/content/drive/MyDrive/VLM_Project_Data/val2017/000000163951.jpg,a chair and a banana,a paper and a banana,chair,paper,LLaVA,"No, this is not a paper and a banana. The image features a stuffed animal, specifically a stuffed deer, and a banana. The banana is placed on a chair, and there is a red object, possibly a","No, this is not a paper and a banana. The image features a stuffed animal, specifically a stuffed deer, and a banana. The banana is placed on a chair, and there is a red object, possibly a",Correct Rejection
79837,/content/drive/MyDrive/VLM_Project_Data/val2017/000000079837.jpg,a boat in the water with a moon in the background,a airplane in the water with a moon in the background,boat,airplane,BLIP-2,Yes,Yes,Confusion/Irrelevance
79837,/content/drive/MyDrive/VLM_Project_Data/val2017/000000079837.jpg,a boat in the water with a moon in the background,a airplane in the water with a moon in the background,boat,airplane,LLaVA,"No, this is not an airplane in the water. The image features a harbor with several boats, including a large white boat, and a moon in the background. The scene is set at night, with the moon illuminating the water","No, this is not an airplane in the water. The image features a harbor with several boats, including a large white boat, and a moon in the background. The scene is set at night, with the moon illuminating the water",Correct Rejection
405972,/content/drive/MyDrive/VLM_Project_Data/val2017/000000405972.jpg,two elephants standing next to each other,two elephants sitting next to each other,standing,sitting,BLIP-2,Yes,Yes,Confusion/Irrelevance
405972,/content/drive/MyDrive/VLM_Project_Data/val2017/000000405972.jpg,two elephants standing next to each other,two elephants sitting next to each other,standing,sitting,LLaVA,"No, this is not two elephants sitting next to each other. Instead, it is a single elephant with a baby elephant inside of it. The baby elephant is visible through the mother elephant's body","No, this is not two elephants sitting next to each other. Instead, it is a single elephant with a baby elephant inside of it. The baby elephant is visible through the mother elephant's body",Correct Rejection
200252,/content/drive/MyDrive/VLM_Project_Data/val2017/000000200252.jpg,a pair of green shoes on a bed,a pair of yellow shoes on a bed,green,yellow,BLIP-2,Yes,Yes,Confusion/Irrelevance
200252,/content/drive/MyDrive/VLM_Project_Data/val2017/000000200252.jpg,a pair of green shoes on a bed,a pair of yellow shoes on a bed,green,yellow,LLaVA,"No, this is not a pair of yellow shoes on a bed. It is a pair of green shoes on a bed.","No, this is not a pair of yellow shoes on a bed. It is a pair of green shoes on a bed.",Correct Rejection
38576,/content/drive/MyDrive/VLM_Project_Data/val2017/000000038576.jpg,a computer monitor and keyboard,a computer monitor and keypad,keyboard,keypad,BLIP-2,"No, it's a computer monitor and keyboard","No, it's a computer monitor and keyboard",Correct Rejection
38576,/content/drive/MyDrive/VLM_Project_Data/val2017/000000038576.jpg,a computer monitor and keyboard,a computer monitor and keypad,keyboard,keypad,LLaVA,"Yes, the image shows a computer monitor and a keypad, which are essential components of a computer setup.","Yes, the image shows a computer monitor and a keypad, which are essential components of a computer setup.",Agreement with Falsehood
333745,/content/drive/MyDrive/VLM_Project_Data/val2017/000000333745.jpg,a woman walking in front of a bus,a man walking in front of a bus,woman,man,BLIP-2,Yes,Yes,Confusion/Irrelevance
333745,/content/drive/MyDrive/VLM_Project_Data/val2017/000000333745.jpg,a woman walking in front of a bus,a man walking in front of a bus,woman,man,LLaVA,"No, this is not a man walking in front of a bus. It is a woman walking in front of a bus.","No, this is not a man walking in front of a bus. It is a woman walking in front of a bus.",Correct Rejection
69356,/content/drive/MyDrive/VLM_Project_Data/val2017/000000069356.jpg,a man and woman standing next to a fruit stand,a man and man standing next to a fruit stand,woman,man,BLIP-2,Yes,Yes,Confusion/Irrelevance
69356,/content/drive/MyDrive/VLM_Project_Data/val2017/000000069356.jpg,a man and woman standing next to a fruit stand,a man and man standing next to a fruit stand,woman,man,LLaVA,"Yes, this is a man and a woman standing next to a fruit stand.","Yes, this is a man and a woman standing next to a fruit stand.",Agreement with Falsehood
407868,/content/drive/MyDrive/VLM_Project_Data/val2017/000000407868.jpg,a person flying a kite in a park,a animal flying a kite in a park,person,animal,BLIP-2,Yes,Yes,Confusion/Irrelevance
