sample_id,filepath,clean_caption,perturbation_type,model,raw_output,category
497568,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000497568.jpg,a plane with the words alaska on it,VCD Diffusion Noise,BLIP-2,This is a picture of a plane parked at an airport,Other/Irrelevant Description
497568,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000497568.jpg,a plane with the words alaska on it,VCD Diffusion Noise,LLaVA,"The image features a large airplane parked on the tarmac. The airplane is positioned in the center of the scene, with its wings extending outwards. The airplane appears to be a commercial jet, possibly a jumbo",Other/Irrelevant Description
163951,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000163951.jpg,a chair and a banana,VCD Diffusion Noise,BLIP-2,"a banana, a chair, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog",Other/Irrelevant Description
163951,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000163951.jpg,a chair and a banana,VCD Diffusion Noise,LLaVA,"The image features a close-up of a red and white object, possibly a toy or a piece of art. The object is placed on a white surface, which serves as a backdrop. The red and white object is the main focus of",Other/Irrelevant Description
79837,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000079837.jpg,a boat in the water with a moon in the background,VCD Diffusion Noise,BLIP-2,The image is of a bridge over a river at night with a moon in the sky,Other/Irrelevant Description
79837,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000079837.jpg,a boat in the water with a moon in the background,VCD Diffusion Noise,LLaVA,"The image is a blurry, colorful photo of a building. The building appears to be a large structure, possibly a hotel or an apartment complex. The photo is taken from a distance, and the colors are vibrant, creating",Acknowledged Perturbation
405972,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000405972.jpg,two elephants standing next to each other,VCD Diffusion Noise,BLIP-2,A baby elephant is standing next to an adult elephant,Other/Irrelevant Description
405972,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000405972.jpg,two elephants standing next to each other,VCD Diffusion Noise,LLaVA,"The image features a large elephant standing in a dirt area. The elephant is positioned in the center of the scene, and its size is emphasized by the close-up perspective. The elephant appears to be the",Other/Irrelevant Description
200252,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000200252.jpg,a pair of green shoes on a bed,VCD Diffusion Noise,BLIP-2,a pair of shoes on a bed,Ignored Perturbation
200252,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000200252.jpg,a pair of green shoes on a bed,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a person sitting on a chair. The person appears to be wearing a pair of shoes. The chair is positioned in the center of the scene, and the person is sitting comfortably",Other/Irrelevant Description
