sample_id,filepath,clean_caption,misleading_caption,original_word,misleading_word,model,raw_output,answer_part,category
497568,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000497568.jpg,a plane with the words alaska on it,a plane with the words alaska under it,on,under,BLIP-2,Yes,Yes,Confusion/Irrelevance
497568,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000497568.jpg,a plane with the words alaska on it,a plane with the words alaska under it,on,under,LLaVA,"Yes, the image shows a plane with the words ""Alaska"" under it.","Yes, the image shows a plane with the words ""Alaska"" under it.",Agreement with Falsehood
163951,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000163951.jpg,a chair and a banana,a chair and a plantain,banana,plantain,BLIP-2,Yes,Yes,Confusion/Irrelevance
163951,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000163951.jpg,a chair and a banana,a chair and a plantain,banana,plantain,LLaVA,"Yes, the image shows a chair with a plantain on it. The plantain is placed on the chair, and there is a red object next to it. The scene also includes a stuffed animal, a toy, and a banana","Yes, the image shows a chair with a plantain on it. The plantain is placed on the chair, and there is a red object next to it. The scene also includes a stuffed animal, a toy, and a banana",Agreement with Falsehood
79837,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000079837.jpg,a boat in the water with a moon in the background,a airplane in the water with a moon in the background,boat,airplane,BLIP-2,Yes,Yes,Confusion/Irrelevance
79837,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000079837.jpg,a boat in the water with a moon in the background,a airplane in the water with a moon in the background,boat,airplane,LLaVA,"No, this is not an airplane in the water. The image features a harbor with several boats, including a large white boat, and a moon in the background. The scene is set at night, with the moon illuminating the water","No, this is not an airplane in the water. The image features a harbor with several boats, including a large white boat, and a moon in the background. The scene is set at night, with the moon illuminating the water",Correct Rejection
405972,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000405972.jpg,two elephants standing next to each other,two elephants sitting next to each other,standing,sitting,BLIP-2,Yes,Yes,Confusion/Irrelevance
405972,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000405972.jpg,two elephants standing next to each other,two elephants sitting next to each other,standing,sitting,LLaVA,"No, this is not two elephants sitting next to each other. Instead, it is a single elephant with a baby elephant inside of it. The baby elephant is visible through the mother elephant's body","No, this is not two elephants sitting next to each other. Instead, it is a single elephant with a baby elephant inside of it. The baby elephant is visible through the mother elephant's body",Correct Rejection
200252,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000200252.jpg,a pair of green shoes on a bed,a pair of green shoes on a futon,bed,futon,BLIP-2,Yes,Yes,Confusion/Irrelevance
200252,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000200252.jpg,a pair of green shoes on a bed,a pair of green shoes on a futon,bed,futon,LLaVA,"Yes, this is a pair of green shoes placed on a futon.","Yes, this is a pair of green shoes placed on a futon.",Agreement with Falsehood
