sample_id,filepath,clean_caption,perturbation_type,model,raw_output,category
497568,/content/drive/MyDrive/VLM_Project_Data/val2017/000000497568.jpg,a plane with the words alaska on it,Diffusion Noise,BLIP-2,This is a picture of a plane parked at an airport,Other/Irrelevant Description
497568,/content/drive/MyDrive/VLM_Project_Data/val2017/000000497568.jpg,a plane with the words alaska on it,Diffusion Noise,LLaVA,"The image features a large airplane parked on the tarmac. The airplane is prominently displayed in the foreground, occupying a significant portion of the scene. The airplane is adorned with a Hawaiian logo,",Other/Irrelevant Description
163951,/content/drive/MyDrive/VLM_Project_Data/val2017/000000163951.jpg,a chair and a banana,Diffusion Noise,BLIP-2,"a banana, a car, a dog, a cat, a dog, a cat, a dog, a cat, a dog, a cat, a dog, a cat, a dog, a cat, a dog, a cat, a dog",Other/Irrelevant Description
163951,/content/drive/MyDrive/VLM_Project_Data/val2017/000000163951.jpg,a chair and a banana,Diffusion Noise,LLaVA,"The image features a large, colorful, and possibly fake giraffe. The giraffe is positioned in the center of the scene, with its neck and head prominently visible. The giraffe appears to be a part of",Other/Irrelevant Description
79837,/content/drive/MyDrive/VLM_Project_Data/val2017/000000079837.jpg,a boat in the water with a moon in the background,Diffusion Noise,BLIP-2,The image is of a moonlit night sky with a red light in the foreground,Other/Irrelevant Description
79837,/content/drive/MyDrive/VLM_Project_Data/val2017/000000079837.jpg,a boat in the water with a moon in the background,Diffusion Noise,LLaVA,"The image is a blurry, colorful photo of a building at night. The building appears to be a large structure, possibly a hotel or a commercial building. The photo is taken from a distance, and the colors are vibrant,",Acknowledged Perturbation
405972,/content/drive/MyDrive/VLM_Project_Data/val2017/000000405972.jpg,two elephants standing next to each other,Diffusion Noise,BLIP-2,A baby elephant and an adult elephant,Other/Irrelevant Description
405972,/content/drive/MyDrive/VLM_Project_Data/val2017/000000405972.jpg,two elephants standing next to each other,Diffusion Noise,LLaVA,"The image features a large elephant standing in a grassy area. The elephant is positioned in the center of the scene, and its size is emphasized by the close-up perspective. The elephant appears to be the",Other/Irrelevant Description
200252,/content/drive/MyDrive/VLM_Project_Data/val2017/000000200252.jpg,a pair of green shoes on a bed,Diffusion Noise,BLIP-2,a pair of shoes on a bed,Ignored Perturbation
200252,/content/drive/MyDrive/VLM_Project_Data/val2017/000000200252.jpg,a pair of green shoes on a bed,Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a person wearing a green shoe. The person is standing on a boat, possibly enjoying a leisurely activity on the water. The shoe is prominently displayed in",Acknowledged Perturbation
38576,/content/drive/MyDrive/VLM_Project_Data/val2017/000000038576.jpg,a computer monitor and keyboard,Diffusion Noise,BLIP-2,"A computer monitor, a keyboard, and a mouse",Ignored Perturbation
38576,/content/drive/MyDrive/VLM_Project_Data/val2017/000000038576.jpg,a computer monitor and keyboard,Diffusion Noise,LLaVA,"The image features a computer keyboard placed on a desk. The keyboard is positioned towards the left side of the desk. Above the keyboard, there is a framed photograph, which adds a personal touch to the workspace. The des",Other/Irrelevant Description
333745,/content/drive/MyDrive/VLM_Project_Data/val2017/000000333745.jpg,a woman walking in front of a bus,Diffusion Noise,BLIP-2,a woman is sitting on a bench in front of a building,Other/Irrelevant Description
333745,/content/drive/MyDrive/VLM_Project_Data/val2017/000000333745.jpg,a woman walking in front of a bus,Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a woman standing next to a sign. The woman is wearing a pink top, and the sign she is standing next to is also pink. The scene appears to be a collage",Acknowledged Perturbation
69356,/content/drive/MyDrive/VLM_Project_Data/val2017/000000069356.jpg,a man and woman standing next to a fruit stand,Diffusion Noise,BLIP-2,A group of people standing around a fruit stand,Other/Irrelevant Description
69356,/content/drive/MyDrive/VLM_Project_Data/val2017/000000069356.jpg,a man and woman standing next to a fruit stand,Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a man standing next to a fruit stand. The man is positioned on the left side of the stand, while the fruit stand is located in the center of the image. The stand is filled",Acknowledged Perturbation
407868,/content/drive/MyDrive/VLM_Project_Data/val2017/000000407868.jpg,a person flying a kite in a park,Diffusion Noise,BLIP-2,A man is flying a kite in a park,Ignored Perturbation
407868,/content/drive/MyDrive/VLM_Project_Data/val2017/000000407868.jpg,a person flying a kite in a park,Diffusion Noise,LLaVA,"The image features a person standing in a field, holding a frisbee. The person appears to be playing with the frisbee, possibly preparing to throw it. The field is surrounded by trees, creating a serene and natural",Other/Irrelevant Description
102805,/content/drive/MyDrive/VLM_Project_Data/val2017/000000102805.jpg,a man holding a frisbee,Diffusion Noise,BLIP-2,The image is of a man in a hat standing in front of a lake,Other/Irrelevant Description
102805,/content/drive/MyDrive/VLM_Project_Data/val2017/000000102805.jpg,a man holding a frisbee,Diffusion Noise,LLaVA,"The image features a person wearing a hat, sitting on a beach near the water. The person appears to be enjoying their time by the ocean. The beach is lined with several cars parked nearby, suggesting that this is a popular spot",Other/Irrelevant Description
416330,/content/drive/MyDrive/VLM_Project_Data/val2017/000000416330.jpg,a cat laying on a bed,Diffusion Noise,BLIP-2,a cat in a red square,Other/Irrelevant Description
416330,/content/drive/MyDrive/VLM_Project_Data/val2017/000000416330.jpg,a cat laying on a bed,Diffusion Noise,LLaVA,"The image features a close-up of a black and white cat's face. The cat appears to be looking at the camera, with its eyes open and focused on the lens. The cat's face is the main subject of the photo",Other/Irrelevant Description
166521,/content/drive/MyDrive/VLM_Project_Data/val2017/000000166521.jpg,a tv in a living room with a person standing in front of it,Diffusion Noise,BLIP-2,A television set in a room,Other/Irrelevant Description
166521,/content/drive/MyDrive/VLM_Project_Data/val2017/000000166521.jpg,a tv in a living room with a person standing in front of it,Diffusion Noise,LLaVA,"The image is a blurry, colorful photo of a building with a large TV mounted on its side. The TV is positioned towards the top of the building, and it appears to be a prominent feature of the structure. The building itself",Acknowledged Perturbation
395388,/content/drive/MyDrive/VLM_Project_Data/val2017/000000395388.jpg,a barn with people standing around a pen,Diffusion Noise,BLIP-2,This is a picture of a man standing in a store.,Other/Irrelevant Description
395388,/content/drive/MyDrive/VLM_Project_Data/val2017/000000395388.jpg,a barn with people standing around a pen,Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a man and a woman standing in a room. The man is wearing a red hat, and the woman is wearing a white shirt. They appear to be in a hallway or",Acknowledged Perturbation
205401,/content/drive/MyDrive/VLM_Project_Data/val2017/000000205401.jpg,a small plane in the water,Diffusion Noise,BLIP-2,The image is a photograph of a small plane in the water,Ignored Perturbation
205401,/content/drive/MyDrive/VLM_Project_Data/val2017/000000205401.jpg,a small plane in the water,Diffusion Noise,LLaVA,"The image features a large boat floating on a body of water. The boat is positioned in the middle of the scene, and it appears to be the main focus of the image. The water appears to be choppy, adding to the dynamic nature",Other/Irrelevant Description
526103,/content/drive/MyDrive/VLM_Project_Data/val2017/000000526103.jpg,an elephant in a zoo with a sign,Diffusion Noise,BLIP-2,This is an elephant in a zoo,Ignored Perturbation
526103,/content/drive/MyDrive/VLM_Project_Data/val2017/000000526103.jpg,an elephant in a zoo with a sign,Diffusion Noise,LLaVA,"The image is a close-up of a magazine cover, featuring a picture of a building. The cover is blurry, giving it a slightly distorted appearance. The building in the image is located in the upper-middle part of the cover",Acknowledged Perturbation
398203,/content/drive/MyDrive/VLM_Project_Data/val2017/000000398203.jpg,a group of kids playing soccer,Diffusion Noise,BLIP-2,The image shows a soccer game with a player on the left and a player on the right,Other/Irrelevant Description
398203,/content/drive/MyDrive/VLM_Project_Data/val2017/000000398203.jpg,a group of kids playing soccer,Diffusion Noise,LLaVA,"The image is a collage of three young men playing soccer. Each man is captured in a different position, with one man in the foreground, another in the middle, and the third man in the background. The men are wearing s",Other/Irrelevant Description
