sample_id,filepath,clean_caption,perturbation_type,model,raw_output,category
67fe615a77792fc76b6147a8,/root/fiftyone/coco-2017/validation/data/000000537053.jpg,a giraffe,Rotation+GaussianBlur,BLIP-2,A giraffe in a field,Ignored Perturbation
67fe615a77792fc76b6147a8,/root/fiftyone/coco-2017/validation/data/000000537053.jpg,a giraffe,Rotation+GaussianBlur,LLaVA,"The image features a giraffe standing in a grassy field. The giraffe is positioned in the center of the scene, with its long neck and legs prominently visible. The field appears to be a lush green, providing",Other/Irrelevant Description
67fe615a77792fc76b61491b,/root/fiftyone/coco-2017/validation/data/000000384527.jpg,"a room with a table, chairs, and a tv",Rotation+GaussianBlur,BLIP-2,"A room with a table, chairs, and a television",Ignored Perturbation
67fe615a77792fc76b61491b,/root/fiftyone/coco-2017/validation/data/000000384527.jpg,"a room with a table, chairs, and a tv",Rotation+GaussianBlur,LLaVA,"The image features a cozy living room with a dining table in the center. The table is set with various items, including a vase, a cup, and a bowl. There are also several potted plants placed around the room,",Other/Irrelevant Description
67fe615a77792fc76b614707,/root/fiftyone/coco-2017/validation/data/000000321333.jpg,two children holding a teddy bear,Rotation+GaussianBlur,BLIP-2,"two children, one holding a stuffed animal, the other holding a stuffed animal",Other/Irrelevant Description
67fe615a77792fc76b614707,/root/fiftyone/coco-2017/validation/data/000000321333.jpg,two children holding a teddy bear,Rotation+GaussianBlur,LLaVA,"The image is a black and white photo of two young boys, each holding a stuffed animal. One boy is on the left side of the photo, while the other boy is on the right side. The stuffed animals they are holding are ted",Other/Irrelevant Description
67fe615b77792fc76b6149b0,/root/fiftyone/coco-2017/validation/data/000000241319.jpg,a bathroom sink with two toothbrushes and a bottle of toothpaste,Rotation+GaussianBlur,BLIP-2,A bathroom sink with a toothbrush holder and a toothbrush,Other/Irrelevant Description
67fe615b77792fc76b6149b0,/root/fiftyone/coco-2017/validation/data/000000241319.jpg,a bathroom sink with two toothbrushes and a bottle of toothpaste,Rotation+GaussianBlur,LLaVA,"The image features a bathroom sink with a variety of toothbrushes and toothpaste placed on it. There are at least six toothbrushes of different sizes and colors, as well as two toothpaste tubes.",Other/Irrelevant Description
67fe615a77792fc76b61490f,/root/fiftyone/coco-2017/validation/data/000000469246.jpg,a train at a train station,Rotation+GaussianBlur,BLIP-2,A train is pulling into a station,Ignored Perturbation
67fe615a77792fc76b61490f,/root/fiftyone/coco-2017/validation/data/000000469246.jpg,a train at a train station,Rotation+GaussianBlur,LLaVA,"The image features a train station with a train on the tracks. The train is positioned towards the center of the scene, and it appears to be a passenger train. There are several people in the image, some of them standing near the train,",Ignored Perturbation
67fe615a77792fc76b614914,/root/fiftyone/coco-2017/validation/data/000000373705.jpg,a fire hydrant with a family in the background,Rotation+GaussianBlur,BLIP-2,A fire hydrant is in front of a fountain,Other/Irrelevant Description
67fe615a77792fc76b614914,/root/fiftyone/coco-2017/validation/data/000000373705.jpg,a fire hydrant with a family in the background,Rotation+GaussianBlur,LLaVA,"The image features a group of people, including both adults and children, gathered around a red fire hydrant. They seem to be enjoying their time together, possibly playing or socializing. The fire hydrant is located near a fountain",Other/Irrelevant Description
67fe615a77792fc76b614919,/root/fiftyone/coco-2017/validation/data/000000405205.jpg,a bus parked in a lot,Rotation+GaussianBlur,BLIP-2,A bus parked in a parking lot,Ignored Perturbation
67fe615a77792fc76b614919,/root/fiftyone/coco-2017/validation/data/000000405205.jpg,a bus parked in a lot,Rotation+GaussianBlur,LLaVA,"The image features a large white and green bus parked on the side of a road. The bus is positioned in the middle of the scene, and it appears to be a public transit bus. There are several people in the vicinity of",Other/Irrelevant Description
67fe615a77792fc76b6147b7,/root/fiftyone/coco-2017/validation/data/000000109992.jpg,a person walking in the snow,Rotation+GaussianBlur,BLIP-2,A child is standing in the snow with a snowboard,Other/Irrelevant Description
67fe615a77792fc76b6147b7,/root/fiftyone/coco-2017/validation/data/000000109992.jpg,a person walking in the snow,Rotation+GaussianBlur,LLaVA,"The image features a snowy landscape with a person wearing a blue jacket, possibly a child, playing in the snow. The person is holding a yellow object, possibly a toy or a tool, while enjoying the snowy environment.",Other/Irrelevant Description
67fe615a77792fc76b614905,/root/fiftyone/coco-2017/validation/data/000000082986.jpg,a group of people playing frisbee,Rotation+GaussianBlur,BLIP-2,A man is throwing a frisbee,Other/Irrelevant Description
67fe615a77792fc76b614905,/root/fiftyone/coco-2017/validation/data/000000082986.jpg,a group of people playing frisbee,Rotation+GaussianBlur,LLaVA,"The image features two men playing frisbee on a hill. One man is in the foreground, while the other man is in the background. The frisbee is in the air, close to the man in the foreground.",Other/Irrelevant Description
67fe615a77792fc76b6147b1,/root/fiftyone/coco-2017/validation/data/000000058384.jpg,elephants in a field with a pool,Rotation+GaussianBlur,BLIP-2,A herd of elephants in a field,Ignored Perturbation
67fe615a77792fc76b6147b1,/root/fiftyone/coco-2017/validation/data/000000058384.jpg,elephants in a field with a pool,Rotation+GaussianBlur,LLaVA,"The image features a group of elephants standing together in a grassy field. There are three elephants in total, with one on the left side, another in the middle, and the third one on the right side of the image.",Other/Irrelevant Description
67fe615a77792fc76b6147bb,/root/fiftyone/coco-2017/validation/data/000000443426.jpg,a man sitting in a chair,Rotation+GaussianBlur,BLIP-2,a man in a white shirt and tie sitting in a chair,Ignored Perturbation
67fe615a77792fc76b6147bb,/root/fiftyone/coco-2017/validation/data/000000443426.jpg,a man sitting in a chair,Rotation+GaussianBlur,LLaVA,"The image features a man wearing glasses, sitting in a chair with his hands clasped. He appears to be in a relaxed position, possibly taking a break or waiting for someone. The man is wearing a white shirt,",Other/Irrelevant Description
67fe615b77792fc76b6149ef,/root/fiftyone/coco-2017/validation/data/000000411774.jpg,a woman holding a tennis racket,Rotation+GaussianBlur,BLIP-2,A woman holding a tennis racket with a logo on it,Ignored Perturbation
