sample_id,filepath,clean_caption,perturbation_type,model,raw_output,category
67fde4bd3e2e120b363a8a6c,/root/fiftyone/coco-2017/validation/data/000000537053.jpg,a giraffe,Rotation+GaussianBlur,BLIP-2,A giraffe in a field,Ignored Perturbation
67fde4bd3e2e120b363a8a6c,/root/fiftyone/coco-2017/validation/data/000000537053.jpg,a giraffe,Rotation+GaussianBlur,LLaVA,"The image features a giraffe standing in a grassy field. The giraffe is positioned in the center of the scene, with its long neck and legs prominently visible. The field appears to be a lush green, providing",Other/Irrelevant Description
67fde4be3e2e120b363a8bb6,/root/fiftyone/coco-2017/validation/data/000000384527.jpg,"a room with a table, chairs, and a tv",Rotation+GaussianBlur,BLIP-2,"A room with a table, chairs, a television, and a coffee table",Ignored Perturbation
67fde4be3e2e120b363a8bb6,/root/fiftyone/coco-2017/validation/data/000000384527.jpg,"a room with a table, chairs, and a tv",Rotation+GaussianBlur,LLaVA,"The image features a cozy living room with a retro feel. The room is filled with various pieces of furniture, including a couch, a chair, and a dining table. A vase is placed on the table, adding a touch",Other/Irrelevant Description
67fde4bd3e2e120b363a88fa,/root/fiftyone/coco-2017/validation/data/000000321333.jpg,two children holding a teddy bear,Rotation+GaussianBlur,BLIP-2,"two children, one holding a teddy bear, the other holding a stuffed animal",Ignored Perturbation
67fde4bd3e2e120b363a88fa,/root/fiftyone/coco-2017/validation/data/000000321333.jpg,two children holding a teddy bear,Rotation+GaussianBlur,LLaVA,"The image features two young children, a boy and a girl, sitting next to each other and holding a stuffed teddy bear. They seem to be enjoying their time together, possibly posing for a photo. The teddy bear is placed",Ignored Perturbation
67fde4be3e2e120b363a8bc0,/root/fiftyone/coco-2017/validation/data/000000241319.jpg,a bathroom sink with two toothbrushes and a bottle of toothpaste,Rotation+GaussianBlur,BLIP-2,A bathroom sink with a toothbrush holder and a toothbrush,Other/Irrelevant Description
67fde4be3e2e120b363a8bc0,/root/fiftyone/coco-2017/validation/data/000000241319.jpg,a bathroom sink with two toothbrushes and a bottle of toothpaste,Rotation+GaussianBlur,LLaVA,"The image features a bathroom sink with a variety of toiletries and personal care items. There are multiple toothbrushes placed around the sink, with some closer to the front and others further back. A cup can be seen on",Other/Irrelevant Description
67fde4bd3e2e120b363a8a97,/root/fiftyone/coco-2017/validation/data/000000469246.jpg,a train at a train station,Rotation+GaussianBlur,BLIP-2,A train is pulling into a station,Ignored Perturbation
67fde4bd3e2e120b363a8a97,/root/fiftyone/coco-2017/validation/data/000000469246.jpg,a train at a train station,Rotation+GaussianBlur,LLaVA,"The image features a train station with a train on the tracks. The train is positioned on the left side of the image, and it appears to be a passenger train. There are several people standing near the train, likely waiting to board or dis",Ignored Perturbation
67fde4bd3e2e120b363a8a9c,/root/fiftyone/coco-2017/validation/data/000000373705.jpg,a fire hydrant with a family in the background,Rotation+GaussianBlur,BLIP-2,A red and yellow fire hydrant is sitting in front of a fountain.,Other/Irrelevant Description
67fde4bd3e2e120b363a8a9c,/root/fiftyone/coco-2017/validation/data/000000373705.jpg,a fire hydrant with a family in the background,Rotation+GaussianBlur,LLaVA,"The image features a red fire hydrant situated next to a black fountain. The fire hydrant is prominently placed in the foreground, while the fountain is located in the background. 

There are several people in",Other/Irrelevant Description
67fde4bd3e2e120b363a8aa1,/root/fiftyone/coco-2017/validation/data/000000405205.jpg,a bus parked in a lot,Rotation+GaussianBlur,BLIP-2,A bus parked in a parking lot,Ignored Perturbation
67fde4bd3e2e120b363a8aa1,/root/fiftyone/coco-2017/validation/data/000000405205.jpg,a bus parked in a lot,Rotation+GaussianBlur,LLaVA,"The image features a large white and green bus parked on the side of a road. The bus is positioned in the foreground, occupying a significant portion of the scene. 

In the background, there are two smaller buses",Other/Irrelevant Description
67fde4bd3e2e120b363a8a7b,/root/fiftyone/coco-2017/validation/data/000000109992.jpg,a person walking in the snow,Rotation+GaussianBlur,BLIP-2,A child is riding a snowboard down a hill,Other/Irrelevant Description
67fde4bd3e2e120b363a8a7b,/root/fiftyone/coco-2017/validation/data/000000109992.jpg,a person walking in the snow,Rotation+GaussianBlur,LLaVA,"The image features a snowy landscape with a person wearing a blue jacket, likely a child, skiing down a snow-covered slope. The person is holding a ski pole, and there is a backpack nearby. The scene also",Other/Irrelevant Description
67fde4bd3e2e120b363a8a8d,/root/fiftyone/coco-2017/validation/data/000000082986.jpg,a group of people playing frisbee,Rotation+GaussianBlur,BLIP-2,A man is throwing a frisbee,Other/Irrelevant Description
67fde4bd3e2e120b363a8a8d,/root/fiftyone/coco-2017/validation/data/000000082986.jpg,a group of people playing frisbee,Rotation+GaussianBlur,LLaVA,"The image features two men playing with a frisbee in a field. One man is in the foreground, while the other man is positioned further back in the scene. The frisbee is in the air, close to the",Other/Irrelevant Description
67fde4bd3e2e120b363a8a75,/root/fiftyone/coco-2017/validation/data/000000058384.jpg,elephants in a field with a pool,Rotation+GaussianBlur,BLIP-2,A herd of elephants in a field,Ignored Perturbation
