sample_id,filepath,clean_caption,misleading_caption,original_word,misleading_word,model,raw_output,answer_part,category
67fde4be3e2e120b363a8bb6,/root/fiftyone/coco-2017/validation/data/000000384527.jpg,"a room with a table, chairs, and a tv","a room with a chair, chairs, and a tv",table,chair,,,,Processing Error
67fde4be3e2e120b363a8bb6,/root/fiftyone/coco-2017/validation/data/000000384527.jpg,"a room with a table, chairs, and a tv","a room with a chair, chairs, and a tv",table,chair,LLaVA,,,Processing Error
67fde4bd3e2e120b363a8a97,/root/fiftyone/coco-2017/validation/data/000000469246.jpg,a train at a train station,a airplane at a train station,train,airplane,,,,Processing Error
67fde4bd3e2e120b363a8a97,/root/fiftyone/coco-2017/validation/data/000000469246.jpg,a train at a train station,a airplane at a train station,train,airplane,LLaVA,,,Processing Error
67fde4bd3e2e120b363a8aa1,/root/fiftyone/coco-2017/validation/data/000000405205.jpg,a bus parked in a lot,a car parked in a lot,bus,car,,,,Processing Error
67fde4bd3e2e120b363a8aa1,/root/fiftyone/coco-2017/validation/data/000000405205.jpg,a bus parked in a lot,a car parked in a lot,bus,car,LLaVA,,,Processing Error
67fde4bd3e2e120b363a8a7b,/root/fiftyone/coco-2017/validation/data/000000109992.jpg,a person walking in the snow,a person running in the snow,walking,running,,,,Processing Error
67fde4bd3e2e120b363a8a7b,/root/fiftyone/coco-2017/validation/data/000000109992.jpg,a person walking in the snow,a person running in the snow,walking,running,LLaVA,,,Processing Error
67fde4bd3e2e120b363a8a7f,/root/fiftyone/coco-2017/validation/data/000000443426.jpg,a man sitting in a chair,a man standing in a chair,sitting,standing,,,,Processing Error
67fde4bd3e2e120b363a8a7f,/root/fiftyone/coco-2017/validation/data/000000443426.jpg,a man sitting in a chair,a man standing in a chair,sitting,standing,LLaVA,,,Processing Error
67fde4be3e2e120b363a8bd7,/root/fiftyone/coco-2017/validation/data/000000411774.jpg,a woman holding a tennis racket,a man holding a tennis racket,woman,man,,,,Processing Error
67fde4be3e2e120b363a8bd7,/root/fiftyone/coco-2017/validation/data/000000411774.jpg,a woman holding a tennis racket,a man holding a tennis racket,woman,man,LLaVA,,,Processing Error
67fde4bd3e2e120b363a8a8a,/root/fiftyone/coco-2017/validation/data/000000563470.jpg,a person bending over to pick up a blue stick,a person bending over to pick up a red stick,blue,red,,,,Processing Error
67fde4bd3e2e120b363a8a8a,/root/fiftyone/coco-2017/validation/data/000000563470.jpg,a person bending over to pick up a blue stick,a person bending over to pick up a red stick,blue,red,LLaVA,,,Processing Error
67fde4bd3e2e120b363a88fb,/root/fiftyone/coco-2017/validation/data/000000502136.jpg,a door with a plaque on it,a door with a plaque under it,on,under,,,,Processing Error
67fde4bd3e2e120b363a88fb,/root/fiftyone/coco-2017/validation/data/000000502136.jpg,a door with a plaque on it,a door with a plaque under it,on,under,LLaVA,,,Processing Error
67fde4be3e2e120b363a8bc4,/root/fiftyone/coco-2017/validation/data/000000009590.jpg,a group of people sitting around a table,a group of people standing around a table,sitting,standing,,,,Processing Error
67fde4be3e2e120b363a8bc4,/root/fiftyone/coco-2017/validation/data/000000009590.jpg,a group of people sitting around a table,a group of people standing around a table,sitting,standing,LLaVA,,,Processing Error
67fde4bd3e2e120b363a8a79,/root/fiftyone/coco-2017/validation/data/000000564280.jpg,a dog sitting on a couch,a dog sitting under a couch,on,under,,,,Processing Error
67fde4bd3e2e120b363a8a79,/root/fiftyone/coco-2017/validation/data/000000564280.jpg,a dog sitting on a couch,a dog sitting under a couch,on,under,LLaVA,,,Processing Error
67fde4bd3e2e120b363a8a6b,/root/fiftyone/coco-2017/validation/data/000000130586.jpg,a boy playing with a kite,a girl playing with a kite,boy,girl,BLIP-2,"No, this is a boy playing with a kite","No, this is a boy playing with a kite",Correct Rejection
67fde4bd3e2e120b363a8a6b,/root/fiftyone/coco-2017/validation/data/000000130586.jpg,a boy playing with a kite,a girl playing with a kite,boy,girl,LLaVA,"No, this is a young boy playing with a kite.","No, this is a young boy playing with a kite.",Correct Rejection
